413,54,41,1,2020-01-13 21:04:21,admin
414,55,41,0,2020-01-13 21:12:41,admin
415,55,42,0,2020-01-13 21:12:41,admin
416,55,43,0,2020-01-13 21:12:41,admin
417,55,41,1,2020-01-13 21:12:42,admin
418,55,42,1,2020-01-13 21:12:42,admin
419,55,43,1,2020-01-13 21:12:43,admin
420,55,41,0,2020-01-13 21:13:26,admin
421,55,42,1,2020-01-13 21:13:27,admin
422,55,43,1,2020-01-13 21:13:28,admin
423,55,41,1,2020-01-13 21:13:29,admin
424,55,41,1,2020-01-13 21:13:29,admin
425,57,44,1,2020-01-13 21:25:01,admin
426,58,44,0,2020-01-13 21:26:53,admin
427,58,44,1,2020-01-13 21:27:08,admin
428,58,44,1,2020-01-13 21:27:31,admin
